,,"Demographic Information, Households and Race/Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,Children in Poverty < 18,,,,,,,,,,,,,,,,,,,Teen Pregnancy,,,Substance Abuse Treatment,,,,,Child Abuse and Neglect Related Fatalities (2010-2014),,,Substantiated < 18 (2010-2014),,,Rankings - Larger Numbers Indicate Higher Risk (1=lowest risk),,,,,,,
ZCTA,County Name,Corresponding Counties,Total Population (2010-2014),2010 Child Population (under 18),2011 Child Population (under 18),2012 Child Population (under 18),2013 Child Population (under 18),2014 Child Population (under 18),Child Population (under 18) 5yr,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Family Households 5yr,Female-headed Household with Child 5yr,Total Estimated Child Population < 18yrs,Children in Poverty (under 18) 5yr,Average of Child Poverty (under 18) 5yr,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Teen Birth and Married ,No Teen Birth and Married,Teen Birth and Unmarried (15-19yrs),No Teen Birth and Unmarried,Number of Teen Births (15-19yrs); 2008-2012 American Community Survey,Total Female Population (15-19yrs); 2008-2012 American Community Survey,Average Teen Birth(15-19yrs); 2008-2012 American Community Survey,Unique Clients Admitted for Substance Abuse Treatment (*=suppressed),Number of state funded substance abuse service types utilized by individuals,Drug- Related Offenses,Domestic Violence Offenses,Average Substance Abuse Treatment; 2008-2012 American Community Survey,Child Abuse and Neglect Fatalities 5yr,Aggregated Child Population Estimate (2010 - 2014),Average Child Abuse and Neglect Related Fatalities < 18yrs,Total Number of Substantiated Cases (under 18) ,2010 - 2014 Aggregated Child Population Estimate (under 18) ,Average Number of Substantiated Cases (under 18),Poverty Ranking for Children (under 18) 5yr,Teen Births (15-19) 5yr,Substance Abuse Rating,Child Abuse and Neglect Fatalities 5yr,Substantiated Abuse Rating  (under 18),Mean of Overall Risk Rankings,Overall Risk Ranking
77447,Harris County,Harris County;Montgomery County;Waller County,13186,3392,3683,3835,4527,3998,3887,9876,8617,760,53,35,0,0,411,3666,3065,9,0,0,0,502,90,4020,400,3998,645,16.13%,105,10,129,31,15,33,69,17,66,143,27,0,7,0,0,384,0,391,1.79%,11,7,N/A,N/A,26.92%,2,3887,0.05%,122,3887,3.14%,714,949,1308,1779,586,1067.2,1489
77447,Montgomery County,Harris County;Montgomery County;Waller County,13186,3392,3683,3835,4527,3998,3887,9876,8617,760,53,35,0,0,411,3666,3065,9,0,0,0,502,90,4020,400,3998,645,16.13%,105,10,129,31,15,33,69,17,66,143,27,0,7,0,0,384,0,391,1.79%,11,7,N/A,N/A,26.92%,2,3887,0.05%,122,3887,3.14%,714,949,1308,1779,586,1067.2,1489
77447,Waller County,Harris County;Montgomery County;Waller County,13186,3392,3683,3835,4527,3998,3887,9876,8617,760,53,35,0,0,411,3666,3065,9,0,0,0,502,90,4020,400,3998,645,16.13%,105,10,129,31,15,33,69,17,66,143,27,0,7,0,0,384,0,391,1.79%,11,7,N/A,N/A,26.92%,2,3887,0.05%,122,3887,3.14%,714,949,1308,1779,586,1067.2,1489
77448,Wharton County,Wharton County,177,69,85,0,0,0,31,109,92,17,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,N/A,*,1,N/A,N/A,3.85%,0,31,0.00%,0,31,0.00%,N/A,N/A,467,1,1,156.3333333,148
77449,Harris County,Harris County,99450,32369,28620,30140,30823,31660,30722,51740,27928,17976,62,4011,0,192,1571,43875,34298,387,217,44,130,7023,1776,27961,3185,31660,5484,17.32%,856,248,1099,463,44,155,687,154,1020,425,0,333,34,67,25,3258,13,3384,1.74%,92,14,N/A,N/A,53.85%,3,30722,0.01%,576,30722,1.87%,754,944,1834,1381,319,1046.4,1464
77450,Fort Bend County,Fort Bend County;Harris County,73269,21620,20960,20926,20532,21136,21035,57996,44643,3948,114,7717,0,275,1299,12542,10135,83,49,58,0,1764,453,23667,1514,21136,1430,6.77%,177,14,200,114,68,130,174,16,205,296,0,36,0,15,0,2813,0,2828,0.00%,34,6,N/A,N/A,23.08%,1,21035,0.00%,219,21035,1.04%,338,1,1209,1,195,348.8,343
77450,Harris County,Fort Bend County;Harris County,73269,21620,20960,20926,20532,21136,21035,57996,44643,3948,114,7717,0,275,1299,12542,10135,83,49,58,0,1764,453,23667,1514,21136,1430,6.77%,177,14,200,114,68,130,174,16,205,296,0,36,0,15,0,2813,0,2828,0.00%,34,6,N/A,N/A,23.08%,1,21035,0.00%,219,21035,1.04%,338,1,1209,1,195,348.8,343
77451,Fort Bend County,Fort Bend County,55,24,23,4,14,6,14,51,9,42,0,0,0,0,0,36,36,0,0,0,0,0,0,39,4,6,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,14,0.00%,13,14,91.55%,1,N/A,1,1,1904,476.75,552
77453,Wharton County,Wharton County,329,88,0,38,101,110,67,125,125,0,0,0,0,0,0,316,157,0,0,0,0,159,0,141,27,110,27,24.55%,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,38,6,38,0.00%,0,0,N/A,N/A,0.00%,0,67,0.00%,3,67,4.45%,1058,1,1,1,935,399.2,419
77454,Wharton County,Wharton County,256,52,0,0,0,0,10,283,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,N/A,*,1,N/A,N/A,3.85%,0,10,0.00%,10,10,96.15%,N/A,N/A,467,1,1906,791.3333333,1112
77455,Jackson County,Jackson County;Wharton County,2017,515,568,538,452,425,500,1546,1524,22,0,0,0,0,0,304,272,0,0,0,0,32,0,658,43,425,6,1.41%,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0.00%,*,1,N/A,N/A,3.85%,0,500,0.00%,3,500,0.60%,172,1,467,1,159,160,150
77455,Wharton County,Jackson County;Wharton County,2017,515,568,538,452,425,500,1546,1524,22,0,0,0,0,0,304,272,0,0,0,0,32,0,658,43,425,6,1.41%,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0.00%,*,1,N/A,N/A,3.85%,0,500,0.00%,3,500,0.60%,172,1,467,1,159,160,150
77456,Matagorda County,Matagorda County,1389,307,231,177,246,265,245,672,639,33,0,0,0,0,0,500,500,0,0,0,0,0,0,460,15,265,72,27.17%,0,0,27,13,0,0,20,0,12,0,0,0,0,0,0,54,0,54,0.00%,0,0,N/A,N/A,0.00%,0,245,0.00%,10,245,4.08%,1171,1,1,1,847,404.2,430
77457,Matagorda County,Matagorda County,544,82,96,52,42,40,62,331,300,23,0,0,0,0,8,213,213,0,0,0,0,0,0,216,4,40,8,20.00%,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0.00%,*,2,N/A,N/A,7.69%,0,62,0.00%,9,62,14.42%,868,1,684,1,1835,677.8,935
77458,Matagorda County,Matagorda County,328,150,24,36,0,0,42,214,214,0,0,0,0,0,0,72,72,0,0,0,0,0,0,119,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,42,0.00%,3,42,7.14%,N/A,N/A,1,1,1477,493,581
77459,Fort Bend County,Fort Bend County,59800,16074,16018,16401,16763,16748,16401,51452,22497,15494,169,12182,0,105,1005,6745,4397,208,134,119,0,1689,198,18815,998,16748,676,4.04%,72,15,103,0,32,38,44,0,145,146,0,81,16,22,0,1849,0,1887,0.85%,40,9,N/A,N/A,34.62%,0,16401,0.00%,235,16401,1.43%,237,880,1488,1,240,569.2,718
77460,Colorado County,Colorado County,99,14,97,37,68,36,50,174,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,36,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,50,0.00%,1,50,1.98%,1,N/A,1,1,340,85.75,109
77461,Fort Bend County,Fort Bend County,10435,2957,2515,2290,2476,2863,2620,7054,6342,612,43,4,0,0,53,2641,2421,0,0,0,0,217,3,3461,282,2863,236,8.24%,23,0,49,5,0,0,94,49,9,7,0,0,0,0,0,375,0,375,0.00%,*,3,N/A,N/A,11.54%,0,2620,0.00%,85,2620,3.24%,394,1,824,1,612,366.4,377
77464,Fort Bend County,Fort Bend County,256,61,145,73,105,90,95,93,93,0,0,0,0,0,0,161,142,0,0,0,0,17,2,85,5,90,24,26.67%,6,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,95,0.00%,4,95,4.22%,1142,N/A,1,1,883,506.75,608
77465,Calhoun County,Calhoun County;Jackson County;Matagorda County,7388,1956,1947,1664,1918,1850,1867,4143,3520,22,0,590,0,0,11,3210,2553,0,0,0,0,310,347,2741,238,1850,501,27.08%,64,29,88,20,0,114,122,0,21,43,0,0,0,0,0,84,0,84,0.00%,*,1,N/A,N/A,3.85%,0,1867,0.00%,58,1867,3.11%,1164,1,467,1,578,442.2,479
77465,Jackson County,Calhoun County;Jackson County;Matagorda County,7388,1956,1947,1664,1918,1850,1867,4143,3520,22,0,590,0,0,11,3210,2553,0,0,0,0,310,347,2741,238,1850,501,27.08%,64,29,88,20,0,114,122,0,21,43,0,0,0,0,0,84,0,84,0.00%,*,1,N/A,N/A,3.85%,0,1867,0.00%,58,1867,3.11%,1164,1,467,1,578,442.2,479
77465,Matagorda County,Calhoun County;Jackson County;Matagorda County,7388,1956,1947,1664,1918,1850,1867,4143,3520,22,0,590,0,0,11,3210,2553,0,0,0,0,310,347,2741,238,1850,501,27.08%,64,29,88,20,0,114,122,0,21,43,0,0,0,0,0,84,0,84,0.00%,*,1,N/A,N/A,3.85%,0,1867,0.00%,58,1867,3.11%,1164,1,467,1,578,442.2,479
77466,Waller County,Waller County,856,192,300,385,354,316,309,230,227,0,0,0,0,0,3,675,593,0,0,0,0,82,0,289,55,316,235,74.37%,55,20,42,21,0,0,23,25,25,24,0,0,0,0,0,12,0,12,0.00%,0,0,N/A,N/A,0.00%,0,309,0.00%,0,309,0.00%,1814,1,1,1,1,363.6,371
77467,Wharton County,Wharton County,99,7,0,43,51,54,31,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,18,54,54,100.00%,18,0,19,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,31,0.00%,0,31,0.00%,1824,N/A,1,1,1,456.75,506
77468,Matagorda County,Matagorda County,192,27,0,11,9,11,12,148,148,0,0,0,0,0,0,29,9,0,0,0,0,20,0,115,0,11,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,N/A,0,0,N/A,N/A,0.00%,0,12,0.00%,2,12,17.24%,1,N/A,1,1,1856,464.75,525
77469,Fort Bend County,Fort Bend County,38364,10043,8925,9001,9369,9920,9452,21254,11627,6422,47,2751,5,43,359,15051,12562,312,18,75,0,1865,219,11228,1135,9920,1579,15.92%,301,40,264,92,26,67,349,87,149,60,56,88,0,12,50,1403,0,1465,3.41%,25,6,N/A,N/A,23.08%,2,9452,0.02%,473,9452,5.00%,701,1061,1209,1533,1075,1115.8,1535
77470,Colorado County,Colorado County,429,78,57,21,27,39,44,186,167,0,0,11,0,0,8,22,22,0,0,0,0,0,0,84,0,39,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,23,0.00%,0,0,N/A,N/A,0.00%,0,44,0.00%,1,44,2.25%,1,1,1,1,391,79,103
77471,Fort Bend County,Fort Bend County,36504,10646,10886,10879,10669,10800,10776,13960,9031,4254,12,307,0,23,333,21224,18472,77,46,0,0,2268,361,11475,1386,10800,3732,34.56%,489,77,661,223,69,137,771,170,645,181,188,121,26,30,36,1396,8,1488,4.17%,30,7,N/A,N/A,26.92%,4,10776,0.04%,639,10776,5.93%,1386,1118,1308,1736,1272,1364,1770
77473,Austin County,Austin County,83,26,0,0,0,27,11,65,27,38,0,0,0,0,0,11,11,0,0,0,0,0,0,40,0,27,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,11,0.00%,5,11,47.17%,1,N/A,1,1,1892,473.75,548
77474,Austin County,Austin County,12867,3475,3525,3415,3514,3419,3470,8883,7354,1365,14,0,0,0,150,4132,3409,10,0,0,0,607,106,4456,291,3419,540,15.79%,79,0,73,106,40,2,128,57,17,0,0,38,0,0,0,599,0,599,0.00%,17,6,N/A,N/A,23.08%,0,3470,0.00%,134,3470,3.86%,694,1,1209,1,778,536.6,655
77475,Colorado County,Colorado County,547,178,197,213,231,184,201,633,633,0,0,0,0,0,0,55,55,0,0,0,0,0,0,291,36,184,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0.00%,0,0,N/A,N/A,0.00%,0,201,0.00%,11,201,5.48%,1,1,1,1,1171,235,207
77476,Fort Bend County,Fort Bend County,171,56,46,44,27,30,41,112,79,33,0,0,0,0,0,65,35,0,0,0,0,30,0,82,0,30,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0.00%,*,1,N/A,N/A,3.85%,0,41,0.00%,8,41,19.70%,1,1,467,1,1864,466.8,531
77477,Fort Bend County,Fort Bend County;Harris County,35608,9587,9617,9176,9295,8479,9231,24548,8828,6947,64,8260,0,119,330,11495,8908,97,31,57,0,2189,213,12860,1328,8479,2226,26.25%,524,30,480,188,55,192,314,32,261,35,60,55,0,13,0,1004,0,1017,0.00%,41,7,N/A,N/A,26.92%,1,9231,0.01%,197,9231,2.13%,1128,1,1308,1381,369,837.4,1173
77477,Harris County,Fort Bend County;Harris County,35608,9587,9617,9176,9295,8479,9231,24548,8828,6947,64,8260,0,119,330,11495,8908,97,31,57,0,2189,213,12860,1328,8479,2226,26.25%,524,30,480,188,55,192,314,32,261,35,60,55,0,13,0,1004,0,1017,0.00%,41,7,N/A,N/A,26.92%,1,9231,0.01%,197,9231,2.13%,1128,1,1308,1381,369,837.4,1173
77478,Fort Bend County,Fort Bend County,24084,5268,5072,4704,4761,4784,4918,22040,11890,1722,26,7667,25,27,683,1813,1272,0,0,38,0,373,130,8443,215,4784,433,9.05%,88,98,55,27,0,16,33,0,36,31,28,21,0,0,0,643,0,643,0.00%,17,4,N/A,N/A,15.38%,0,4918,0.00%,49,4918,1.00%,415,1,952,1,191,312,292
77479,Fort Bend County,Fort Bend County,81466,21739,21802,21438,22507,22828,22063,70528,33058,5348,128,30141,0,266,1587,7761,5901,162,37,124,0,1051,486,24200,849,22828,858,3.76%,0,47,146,129,32,13,92,0,132,141,60,66,0,31,0,3036,3,3067,0.00%,21,4,N/A,N/A,15.38%,0,22063,0.00%,127,22063,0.58%,227,1,952,1,156,267.4,236
77480,Brazoria County,Brazoria County;Matagorda County,7910,2135,2251,2228,2212,2272,2220,6557,5468,873,11,22,0,33,150,1517,1142,37,0,0,0,338,0,2978,266,2272,447,19.67%,112,28,65,0,0,23,46,38,67,52,16,0,0,0,13,226,0,239,5.44%,14,5,N/A,N/A,19.23%,0,2220,0.00%,98,2220,4.42%,850,1197,1090,1,926,812.8,1150
77480,Matagorda County,Brazoria County;Matagorda County,7910,2135,2251,2228,2212,2272,2220,6557,5468,873,11,22,0,33,150,1517,1142,37,0,0,0,338,0,2978,266,2272,447,19.67%,112,28,65,0,0,23,46,38,67,52,16,0,0,0,13,226,0,239,5.44%,14,5,N/A,N/A,19.23%,0,2220,0.00%,98,2220,4.42%,850,1197,1090,1,926,812.8,1150
77481,Fort Bend County,Fort Bend County,3,5,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,N/A,0,0,N/A,N/A,0.00%,0,1,0.00%,0,1,0.00%,N/A,N/A,1,1,1,1,1
77482,Matagorda County,Matagorda County,2379,637,395,587,551,568,548,1188,942,246,0,0,0,0,0,775,775,0,0,0,0,0,0,594,66,568,105,18.49%,33,0,16,19,0,0,0,37,0,0,0,0,0,0,0,41,0,41,0.00%,*,6,N/A,N/A,23.08%,0,548,0.00%,18,548,3.29%,802,1,1209,1,629,528.4,644
77483,Matagorda County,Matagorda County,311,73,37,47,131,131,84,451,451,0,0,0,0,0,0,30,30,0,0,0,0,0,0,116,0,131,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57,0.00%,*,1,N/A,N/A,3.85%,0,84,0.00%,0,84,0.00%,1,1,467,1,1,94.2,115
77484,Grimes County,Grimes County;Harris County;Waller County,11370,2915,2815,2897,2940,2961,2906,8021,7029,840,11,42,0,0,99,2877,1996,0,13,0,0,568,300,3545,110,2961,413,13.95%,63,18,139,63,0,17,32,0,0,31,21,29,15,13,13,338,0,379,7.39%,*,3,N/A,N/A,11.54%,0,2906,0.00%,94,2906,3.24%,614,1300,824,1,612,670.2,917
77484,Harris County,Grimes County;Harris County;Waller County,11370,2915,2815,2897,2940,2961,2906,8021,7029,840,11,42,0,0,99,2877,1996,0,13,0,0,568,300,3545,110,2961,413,13.95%,63,18,139,63,0,17,32,0,0,31,21,29,15,13,13,338,0,379,7.39%,*,3,N/A,N/A,11.54%,0,2906,0.00%,94,2906,3.24%,614,1300,824,1,612,670.2,917
77484,Waller County,Grimes County;Harris County;Waller County,11370,2915,2815,2897,2940,2961,2906,8021,7029,840,11,42,0,0,99,2877,1996,0,13,0,0,568,300,3545,110,2961,413,13.95%,63,18,139,63,0,17,32,0,0,31,21,29,15,13,13,338,0,379,7.39%,*,3,N/A,N/A,11.54%,0,2906,0.00%,94,2906,3.24%,614,1300,824,1,612,670.2,917
77485,Austin County,Austin County;Fort Bend County;Wharton County,3816,940,693,839,870,904,849,2843,2243,483,0,20,0,6,91,947,871,3,0,0,0,67,6,1456,91,904,98,10.84%,8,0,28,17,9,19,9,0,0,8,0,0,0,4,0,125,0,129,0.00%,0,0,N/A,N/A,0.00%,0,849,0.00%,42,849,4.95%,494,1,1,1,1066,312.6,296
77485,Fort Bend County,Austin County;Fort Bend County;Wharton County,3816,940,693,839,870,904,849,2843,2243,483,0,20,0,6,91,947,871,3,0,0,0,67,6,1456,91,904,98,10.84%,8,0,28,17,9,19,9,0,0,8,0,0,0,4,0,125,0,129,0.00%,0,0,N/A,N/A,0.00%,0,849,0.00%,42,849,4.95%,494,1,1,1,1066,312.6,296
77485,Wharton County,Austin County;Fort Bend County;Wharton County,3816,940,693,839,870,904,849,2843,2243,483,0,20,0,6,91,947,871,3,0,0,0,67,6,1456,91,904,98,10.84%,8,0,28,17,9,19,9,0,0,8,0,0,0,4,0,125,0,129,0.00%,0,0,N/A,N/A,0.00%,0,849,0.00%,42,849,4.95%,494,1,1,1,1066,312.6,296
77486,Brazoria County,Brazoria County,6973,1679,1857,1639,1586,1688,1690,5783,5019,710,10,13,0,0,31,955,891,0,0,0,0,11,53,2545,164,1688,387,22.93%,56,0,38,38,0,68,42,0,145,0,0,0,0,0,0,259,0,259,0.00%,24,7,N/A,N/A,26.92%,0,1690,0.00%,75,1690,4.44%,988,1,1308,1,933,646.2,873
77488,Wharton County,Wharton County,14597,3579,3794,3637,3668,3593,3654,9688,5842,3685,0,23,0,0,138,5109,4634,96,20,0,0,286,73,5386,393,3593,1040,28.95%,301,0,269,45,14,21,105,19,105,68,61,32,0,0,0,828,0,828,0.00%,*,9,N/A,N/A,34.62%,1,3654,0.03%,106,3654,2.90%,1235,1,1488,1660,539,984.6,1386
77489,Fort Bend County,Fort Bend County;Harris County,36336,10022,9903,10037,9761,9689,9882,29488,1858,26733,23,587,0,21,266,6052,3015,203,0,0,0,2585,249,11427,1278,9689,1645,16.98%,199,0,431,217,95,71,216,31,190,77,55,63,0,0,13,1394,0,1407,0.92%,49,10,N/A,N/A,38.46%,1,9882,0.01%,359,9882,3.63%,745,885,1575,1381,708,1058.8,1480
77489,Harris County,Fort Bend County;Harris County,36336,10022,9903,10037,9761,9689,9882,29488,1858,26733,23,587,0,21,266,6052,3015,203,0,0,0,2585,249,11427,1278,9689,1645,16.98%,199,0,431,217,95,71,216,31,190,77,55,63,0,0,13,1394,0,1407,0.92%,49,10,N/A,N/A,38.46%,1,9882,0.01%,359,9882,3.63%,745,885,1575,1381,708,1058.8,1480
77493,Fort Bend County,Fort Bend County;Harris County;Waller County,24577,6979,7600,6728,6957,7124,7078,15551,13172,1187,63,635,0,269,225,8077,4847,34,511,0,0,2268,417,7367,486,7124,1104,15.50%,79,45,305,148,0,130,203,0,38,100,0,56,0,20,9,1078,0,1107,0.81%,26,9,N/A,N/A,34.62%,1,7078,0.01%,123,7078,1.74%,683,877,1488,1381,298,945.4,1327
77493,Harris County,Fort Bend County;Harris County;Waller County,24577,6979,7600,6728,6957,7124,7078,15551,13172,1187,63,635,0,269,225,8077,4847,34,511,0,0,2268,417,7367,486,7124,1104,15.50%,79,45,305,148,0,130,203,0,38,100,0,56,0,20,9,1078,0,1107,0.81%,26,9,N/A,N/A,34.62%,1,7078,0.01%,123,7078,1.74%,683,877,1488,1381,298,945.4,1327
77493,Waller County,Fort Bend County;Harris County;Waller County,24577,6979,7600,6728,6957,7124,7078,15551,13172,1187,63,635,0,269,225,8077,4847,34,511,0,0,2268,417,7367,486,7124,1104,15.50%,79,45,305,148,0,130,203,0,38,100,0,56,0,20,9,1078,0,1107,0.81%,26,9,N/A,N/A,34.62%,1,7078,0.01%,123,7078,1.74%,683,877,1488,1381,298,945.4,1327
77494,Fort Bend County,Fort Bend County;Harris County;Waller County,79117,21594,19407,22457,25042,27082,23116,60225,42065,6513,20,9998,0,99,1530,11388,9023,49,0,26,0,1232,1058,22402,1117,27082,541,2.00%,96,0,83,0,0,43,37,95,105,13,47,22,0,0,34,2044,12,2078,1.64%,20,6,N/A,N/A,23.08%,0,23116,0.00%,198,23116,0.86%,185,938,1209,1,185,503.6,604
77494,Harris County,Fort Bend County;Harris County;Waller County,79117,21594,19407,22457,25042,27082,23116,60225,42065,6513,20,9998,0,99,1530,11388,9023,49,0,26,0,1232,1058,22402,1117,27082,541,2.00%,96,0,83,0,0,43,37,95,105,13,47,22,0,0,34,2044,12,2078,1.64%,20,6,N/A,N/A,23.08%,0,23116,0.00%,198,23116,0.86%,185,938,1209,1,185,503.6,604
77494,Waller County,Fort Bend County;Harris County;Waller County,79117,21594,19407,22457,25042,27082,23116,60225,42065,6513,20,9998,0,99,1530,11388,9023,49,0,26,0,1232,1058,22402,1117,27082,541,2.00%,96,0,83,0,0,43,37,95,105,13,47,22,0,0,34,2044,12,2078,1.64%,20,6,N/A,N/A,23.08%,0,23116,0.00%,198,23116,0.86%,185,938,1209,1,185,503.6,604
77498,Fort Bend County,Fort Bend County,52693,14349,14317,14846,14775,14764,14610,39478,15151,7695,12,15797,0,161,662,13067,8005,141,27,277,0,4059,558,15360,1045,14764,2738,18.55%,425,25,437,369,143,140,187,74,759,26,38,115,0,74,43,1905,7,2022,2.13%,30,4,N/A,N/A,15.38%,1,14610,0.01%,222,14610,1.52%,807,976,952,1381,259,875,1235
77502,Harris County,Harris County,37570,12335,12043,12266,12105,11931,12136,10265,8998,863,9,134,25,32,204,26447,19735,236,580,0,0,5728,168,10592,1264,11931,3790,31.77%,644,53,610,279,114,149,736,137,550,256,113,149,0,0,77,1683,0,1760,4.38%,57,14,N/A,N/A,53.85%,0,12136,0.00%,300,12136,2.47%,1317,1138,1834,1,436,945.2,1326
77503,Harris County,Harris County,25348,7560,7493,7451,7622,7476,7520,8422,7582,250,7,234,0,0,349,16681,10081,24,263,0,0,5946,367,7786,732,7476,1826,24.42%,227,151,267,237,40,95,267,30,231,142,37,102,0,17,0,1031,22,1048,0.00%,29,15,N/A,N/A,57.69%,0,7520,0.00%,208,7520,2.77%,1047,1,1869,1,514,686.4,955
77504,Harris County,Harris County,24369,6959,7238,7430,7608,6807,7208,10594,8255,1147,0,1046,0,0,146,14328,10303,62,105,0,0,3321,537,8588,1081,6807,2932,43.07%,382,127,591,208,36,134,417,84,564,201,36,152,0,45,45,687,0,777,5.79%,34,9,N/A,N/A,34.62%,1,7208,0.01%,190,7208,2.64%,1598,1214,1488,1381,474,1231,1648
77505,Harris County,Harris County,23427,6112,6503,5955,6029,5565,6033,14074,12151,587,157,823,0,10,346,9476,7402,88,52,19,0,1697,218,8148,666,5565,552,9.92%,157,0,23,0,39,10,76,34,158,10,7,38,12,19,0,1062,0,1093,1.10%,17,8,N/A,N/A,30.77%,0,6033,0.00%,109,6033,1.81%,452,897,1409,1,306,613,791
77506,Harris County,Harris County,36225,12565,12551,12653,12322,12307,12480,5708,4332,756,276,192,0,34,118,30167,21073,91,291,0,0,8530,182,10299,1333,12307,5605,45.54%,907,128,813,392,158,258,835,133,1151,478,172,180,0,20,121,1060,6,1201,10.07%,66,12,N/A,N/A,46.15%,1,12480,0.01%,273,12480,2.19%,1637,1406,1705,1381,378,1301.4,1709
77507,Harris County,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,0,N/A,2,0,N/A,N/A,N/A,1,N/A,N/A,1,1
77510,Galveston County,Galveston County,14533,3372,3331,3403,3052,3174,3266,11793,11296,42,137,68,0,12,238,1812,1674,0,0,0,0,115,23,4942,349,3174,323,10.18%,66,0,100,28,0,6,22,11,35,28,0,27,0,0,0,430,0,430,0.00%,24,8,N/A,N/A,30.77%,0,3266,0.00%,132,3266,4.04%,468,1,1409,1,837,543.2,666
77511,Brazoria County,Brazoria County;Galveston County,46333,12803,12370,13015,12810,12399,12679,28683,27052,1016,141,220,0,84,170,18206,15499,143,117,0,0,2322,125,16030,1378,12399,2709,21.85%,266,55,469,350,57,174,310,80,545,232,19,152,0,35,29,1477,0,1541,1.88%,85,15,N/A,N/A,57.69%,2,12679,0.02%,495,12679,3.90%,940,955,1869,1533,787,1216.8,1638
77511,Galveston County,Brazoria County;Galveston County,46333,12803,12370,13015,12810,12399,12679,28683,27052,1016,141,220,0,84,170,18206,15499,143,117,0,0,2322,125,16030,1378,12399,2709,21.85%,266,55,469,350,57,174,310,80,545,232,19,152,0,35,29,1477,0,1541,1.88%,85,15,N/A,N/A,57.69%,2,12679,0.02%,495,12679,3.90%,940,955,1869,1533,787,1216.8,1638
77514,Chambers County,Chambers County,4430,1253,883,761,804,822,905,3072,2561,481,12,0,0,0,18,1243,920,14,48,0,0,252,9,1666,44,822,151,18.37%,25,6,27,0,0,0,17,0,62,14,0,0,7,0,0,86,0,93,7.53%,*,4,N/A,N/A,15.38%,0,905,0.00%,40,905,4.42%,800,1309,952,1,926,797.6,1126
